Number,Identifier,English Name,Alternative name / Notes,Testament
B6,JUB,Jubilees,"Ancient Hebrew book used in the Ethiopian
Bible",DC
B7,ENO,Enoch,"Sometimes called ‘1 Enoch’; ancient Hebrew
book in the Ethiopian Bible",DC
B8,1MQ,1 Meqabyan/Mekabis,"Book of Mekabis of Benjamin in the
Ethiopian Bible",DC
B9,2MQ,2 Meqabyan/Mekabis,"Book of Mekabis of Moab in the Ethiopian
Bible",DC
C0,3MQ,3 Meqabyan/Mekabis,Book of Meqabyan in the Ethiopian Bible,DC
C1,REP,Reproof,Proverbs part 2: Used in the Ethiopian Bible,DC
C2,4BA,4 Baruch,"Paralipomenon of Jeremiah, called ‘Rest of
the Words of Baruch’ in Ethiopia; may
include or exclude the Letter of Jeremiah
as chapter 1, used in the Ethiopian Bible",DC
C3,LAO,Letter to the Laodiceans,"A Latin Vulgate book, found in the Vulgate
and some medieval Catholic translations",DC
A0,FRT,Front Matter,,
A1,BAK,Back Matter,,
A2,OTH,Other Matter,,
A7,INT,Introduction Matter,,
A8,CNC,Concordance,,
A9,GLO,Glossary / Wordlist,,
B0,TDX,Topical Index,,
B1,NDX,Names Index,,
94,XXA,Extra material,,
95,XXB,Extra material,,
96,XXC,Extra material,,
97,XXD,Extra material,,
98,XXE,Extra material,,
99,XXF,Extra material,,
100,XXG,Extra material,,
